time,nino34_anom,pred
1975-12-01,-1.9299999475479128,-2.034592
1976-01-01,-2.009999990463257,-1.9196264
1976-02-01,-1.2599999904632568,-1.5060135
1976-03-01,-0.8199999928474426,-0.9234509
1976-04-01,-0.9300000071525574,-0.7028312
1976-05-01,-0.7400000095367432,-0.85824805
1976-06-01,-0.3799999952316284,-0.6100179
1976-07-01,-0.1599999964237213,-0.15691085
1976-08-01,0.1199999973177909,-0.113149405
1976-09-01,0.3000000119209289,0.4022074
1976-10-01,0.75,0.48061934
1976-11-01,0.7099999785423279,0.9728624
1976-12-01,0.4900000095367431,0.63368267
1977-01-01,0.7799999713897705,0.3590129
1977-02-01,0.3700000047683716,0.5406757
1977-03-01,0.1899999976158142,0.30553472
1977-04-01,-0.3799999952316284,0.07687006
1977-05-01,-0.209999993443489,-0.31521887
1977-06-01,0.0099999997764825,-0.08864988
1977-07-01,0.0900000035762786,0.13748117
1977-08-01,-0.0099999997764825,0.06538842
1977-09-01,0.4000000059604645,-0.017234923
1977-10-01,0.6299999952316284,0.54219055
1977-11-01,0.4799999892711639,0.80644184
1977-12-01,0.699999988079071,0.4838709
1978-01-01,0.6200000047683716,0.534154
1978-02-01,0.25,0.31311005
1978-03-01,-0.2000000029802322,-0.08674132
1978-04-01,-0.699999988079071,-0.464331
1978-05-01,-0.7400000095367432,-0.8053192
1978-06-01,-0.7099999785423279,-0.47857797
1978-07-01,-0.550000011920929,-0.5355017
1978-08-01,-0.7900000214576721,-0.5479807
1978-09-01,-0.7099999785423279,-0.76157326
1978-10-01,-0.4600000083446502,-0.5825382
1978-11-01,-0.3799999952316284,-0.3093279
1978-12-01,-0.0599999986588954,-0.25913298
1979-01-01,-0.1299999952316284,0.009987376
1979-02-01,-0.2199999988079071,-0.13301386
1979-03-01,-0.0199999995529651,-0.25838926
1979-04-01,0.0199999995529651,0.06811937
1979-05-01,-0.25,-0.050980687
1979-06-01,-0.2899999916553497,-0.12511231
1979-07-01,-0.4699999988079071,-0.23674227
1979-08-01,-0.1000000014901161,-0.12703693
1979-09-01,0.2800000011920929,0.09724099
1979-10-01,0.1099999994039535,0.38909915
1979-11-01,0.2899999916553497,0.1661637
1979-12-01,0.5199999809265137,0.2271852
1980-01-01,0.5400000214576721,0.46319887
1980-02-01,0.2199999988079071,0.33927554
1980-03-01,0.0299999993294477,0.16490774
1980-04-01,-0.0700000002980232,0.11234348
1980-05-01,0.0799999982118606,0.11793389
1980-06-01,0.209999993443489,0.08752891
1980-07-01,-0.0599999986588954,0.07183262
1980-08-01,-0.3799999952316284,-0.2866051
1980-09-01,-0.2800000011920929,-0.3422455
1980-10-01,-0.2599999904632568,-0.21446678
1980-11-01,-0.1000000014901161,-0.2758995
1980-12-01,0.050000000745058,0.005937806
1981-01-01,-0.3600000143051147,-0.15119787
1981-02-01,-0.6399999856948853,-0.38162467
1981-03-01,-0.6399999856948853,-0.6287537
1981-04-01,-0.5299999713897705,-0.43320125
1981-05-01,-0.5699999928474426,-0.42134517
1981-06-01,-0.4600000083446502,-0.4671931
1981-07-01,-0.6399999856948853,-0.51808155
1981-08-01,-0.5299999713897705,-0.5253372
1981-09-01,-0.1899999976158142,-0.40883762
1981-10-01,-0.3000000119209289,-0.046360165
1981-11-01,-0.4099999964237213,-0.28846478
1981-12-01,-0.2000000029802322,-0.3022869
1982-01-01,0.1299999952316284,-0.19707786
1982-02-01,-0.1700000017881393,0.047849543
1982-03-01,0.1299999952316284,-0.22695565
1982-04-01,0.209999993443489,0.30540538
1982-05-01,0.449999988079071,0.29754582
1982-06-01,0.5299999713897705,0.5708828
1982-07-01,0.3700000047683716,0.7247886
1982-08-01,0.7300000190734863,0.39539495
1982-09-01,1.4900000095367432,1.0873481
1982-10-01,1.9900000095367432,1.8815234
1982-11-01,1.919999957084656,2.2004805
1982-12-01,2.200000047683716,2.0324073
1983-01-01,2.3499999046325684,2.326221
1983-02-01,1.940000057220459,2.2780972
1983-03-01,1.3799999952316284,1.3559123
1983-04-01,0.949999988079071,1.0254825
1983-05-01,0.8999999761581421,0.77627134
1983-06-01,0.5400000214576721,0.62418
1983-07-01,-0.1099999994039535,0.08666008
1983-08-01,-0.270000010728836,-0.46596527
1983-09-01,-0.5199999809265137,-0.3689318
1983-10-01,-1.159999966621399,-0.7654696
1983-11-01,-1.2899999618530271,-1.2395248
1983-12-01,-1.0299999713897705,-1.1009651
1984-01-01,-0.6700000166893005,-0.66013247
1984-02-01,-0.1899999976158142,-0.4793094
1984-03-01,-0.5199999809265137,-0.15268971
1984-04-01,-0.6800000071525574,-0.5199762
1984-05-01,-0.7300000190734863,-0.61362964
1984-06-01,-0.8999999761581421,-0.5956689
1984-07-01,-0.5,-0.801966
1984-08-01,-0.2399999946355819,-0.4646718
1984-09-01,-0.3400000035762787,-0.44432712
1984-10-01,-0.6700000166893005,-0.73936015
1984-11-01,-1.190000057220459,-1.1018072
1984-12-01,-1.340000033378601,-1.0771066
1985-01-01,-1.159999966621399,-1.1246939
1985-02-01,-0.7200000286102295,-0.7443059
1985-03-01,-0.7900000214576721,-0.5432585
1985-04-01,-1.1799999475479126,-0.75324655
1985-05-01,-1.0299999713897705,-1.2024075
1985-06-01,-0.9100000262260436,-0.8734435
1985-07-01,-0.7400000095367432,-0.77558225
1985-08-01,-0.5600000023841858,-0.71155864
1985-09-01,-0.699999988079071,-0.61606526
1985-10-01,-0.4900000095367431,-0.5233219
1985-11-01,-0.3700000047683716,-0.41612747
1985-12-01,-0.4099999964237213,-0.5463992
1986-01-01,-0.6600000262260437,-0.65770733
1986-02-01,-0.7099999785423279,-0.61351323
1986-03-01,-0.4199999868869781,-0.60078067
1986-04-01,-0.3300000131130218,-0.17252444
1986-05-01,-0.5299999713897705,-0.1418773
1986-06-01,-0.3100000023841858,-0.29425606
1986-07-01,-0.1099999994039535,-0.13079914
1986-08-01,0.3199999928474426,0.072001435
1986-09-01,0.5299999713897705,0.5542832
1986-10-01,0.8100000023841858,0.5462674
1986-11-01,1.0099999904632568,1.05225
1986-12-01,1.1200000047683716,1.0020524
1987-01-01,1.1399999856948853,1.055631
1987-02-01,1.1299999952316284,1.1151917
1987-03-01,0.9800000190734864,1.0604057
1987-04-01,0.5799999833106995,0.75724524
1987-05-01,0.6200000047683716,0.50469923
1987-06-01,0.9200000166893004,0.5874763
1987-07-01,1.2899999618530271,1.2747995
1987-08-01,1.5700000524520874,1.5299795
1987-09-01,1.649999976158142,1.4808607
1987-10-01,1.2400000095367432,1.5106945
1987-11-01,1.0700000524520874,0.8646336
1987-12-01,0.9399999976158142,0.8491738
1988-01-01,0.8999999761581421,0.5823606
1988-02-01,0.2800000011920929,0.60393524
1988-03-01,0.1000000014901161,-0.13200414
1988-04-01,-0.4399999976158142,-0.20217761
1988-05-01,-1.25,-0.79079926
1988-06-01,-1.7400000095367432,-1.6322204
1988-07-01,-1.7400000095367432,-1.6926488
1988-08-01,-1.190000057220459,-1.4497876
1988-09-01,-1.0,-1.2841665
1988-10-01,-1.899999976158142,-1.5600408
1988-11-01,-2.049999952316284,-1.9969829
1988-12-01,-1.9600000381469729,-1.9979439
1989-01-01,-1.9700000286102293,-1.9976795
1989-02-01,-1.4700000286102295,-1.5311239
1989-03-01,-1.2100000381469729,-1.1746495
1989-04-01,-1.0800000429153442,-1.1269965
1989-05-01,-0.8799999952316284,-0.9729271
1989-06-01,-0.5899999737739563,-0.70352125
1989-07-01,-0.5699999928474426,-0.59816635
1989-08-01,-0.5299999713897705,-0.5822955
1989-09-01,-0.3000000119209289,-0.42244613
1989-10-01,-0.4000000059604645,-0.27251336
1989-11-01,-0.449999988079071,-0.3060271
1989-12-01,-0.1299999952316284,-0.42421293
1990-01-01,0.0099999997764825,0.022668233
1990-02-01,0.209999993443489,-0.09300882
1990-03-01,0.0399999991059303,0.123736225
1990-04-01,0.0799999982118606,0.0067366124
1990-05-01,0.0799999982118606,0.16124578
1990-06-01,-0.0799999982118606,0.14953716
1990-07-01,0.0900000035762786,-0.038571194
1990-08-01,0.2199999988079071,0.13870983
1990-09-01,0.2199999988079071,0.25791582
1990-10-01,0.209999993443489,0.26416537
1990-11-01,0.1000000014901161,0.2579809
1990-12-01,0.3499999940395355,0.16403754
1991-01-01,0.4900000095367431,0.33876467
1991-02-01,0.3199999928474426,0.4493014
1991-03-01,0.0299999993294477,0.14166744
1991-04-01,0.1899999976158142,-0.015778879
1991-05-01,0.2599999904632568,0.17341189
1991-06-01,0.5199999809265137,0.4307498
1991-07-01,0.7599999904632568,0.6457371
1991-08-01,0.6800000071525574,0.83067405
1991-09-01,0.4199999868869781,0.6103626
1991-10-01,0.8600000143051147,0.4175718
